geo_code1,origin_bicycle,origin_all,origin_ratio,destination_bicycle,destination_all,destination_ratio
E02000768,62,2195,2.82%,12,360,3.33%
E02000769,48,4849,0.99%,35,1314,2.66%
E02000770,18,2397,0.75%,15,612,2.45%
E02000772,24,2468,0.97%,59,4046,1.46%
E02000773,32,2875,1.11%,30,1321,2.27%
E02000774,25,2136,1.17%,13,651,2.00%
E02000776,31,1983,1.56%,26,1200,2.17%
E02000777,106,2181,4.86%,2,224,0.89%
E02000779,28,2319,1.21%,15,2154,0.70%
E02000780,27,3926,0.69%,84,5940,1.41%
E02000781,44,4081,1.08%,31,1179,2.63%
E02000782,20,2364,0.85%,30,1986,1.51%
E02000783,13,1774,0.73%,6,471,1.27%
E02000784,347,3604,9.63%,187,1618,11.56%
E02000785,269,3556,7.56%,272,2920,9.32%
E02000786,472,4381,10.77%,179,2082,8.60%
E02000787,309,4170,7.41%,129,1995,6.47%
E02000788,341,3359,10.15%,100,1727,5.79%
E02000789,117,2289,5.11%,89,1296,6.87%
E02000790,204,2460,8.29%,76,1102,6.90%
E02000791,100,2298,4.35%,405,6909,5.86%
E02000792,153,2505,6.11%,73,927,7.87%
E02000793,186,2877,6.47%,62,906,6.84%
E02000794,192,2550,7.53%,145,1724,8.41%
E02000795,211,1989,10.61%,114,1035,11.01%
E02000796,163,3414,4.77%,44,771,5.71%
E02000797,210,2993,7.02%,440,5252,8.38%
E02000798,319,3893,8.19%,75,1085,6.91%
E02000799,159,2243,7.09%,114,1288,8.85%
E02000800,213,1767,12.05%,28,236,11.86%
E02000801,231,2552,9.05%,264,2461,10.73%
E02000802,193,2379,8.11%,64,1374,4.66%
E02000803,219,3141,6.97%,106,1368,7.75%
E02000804,166,2688,6.18%,318,3764,8.45%
E02000805,284,3390,8.38%,174,1594,10.92%
E02000806,261,3241,8.05%,165,1973,8.36%
E02000807,296,4437,6.67%,32,778,4.11%
E02000808,318,4289,7.41%,2771,40257,6.88%
E02000809,428,6874,6.23%,1741,26423,6.59%
E02000810,275,3866,7.11%,104,1769,5.88%
E02000812,361,4309,8.38%,304,4743,6.41%
E02000813,187,3283,5.70%,103,2039,5.05%
E02000814,326,4556,7.16%,32,1177,2.72%
E02000815,194,2741,7.08%,107,2453,4.36%
E02000816,223,3442,6.48%,98,1760,5.57%
E02000817,128,2152,5.95%,116,1520,7.63%
E02000818,249,2852,8.73%,56,1605,3.49%
E02000819,199,2995,6.64%,68,1453,4.68%
E02000820,350,3497,10.01%,133,1590,8.36%
E02000821,170,2652,6.41%,65,1557,4.17%
E02000822,212,2804,7.56%,39,898,4.34%
E02000823,299,3003,9.96%,55,1243,4.42%
