id,lat,lon,date,borough,severity,casualties_num
730412,51.542497,-0.141974,2019-07-23 15:40:00+00:00,Camden,Serious,1
730417,51.463532,-0.24931099999999998,2019-07-23 05:57:00+00:00,Wandsworth,Slight,1
730420,51.547395,0.023440000000000003,2019-07-23 19:08:00+00:00,Newham,Slight,1
730426,51.492421,0.044313,2019-07-24 00:35:00+00:00,Greenwich,Slight,1
730427,51.497438,-0.125712,2019-07-23 19:00:00+00:00,City of Westminster,Slight,1
730434,51.526409,-0.010849,2019-07-18 17:20:00+00:00,Tower Hamlets,Slight,1
730439,51.501736,-0.173587,2019-07-15 18:40:00+00:00,City of Westminster,Serious,1
730443,51.457007,-0.013739,2019-07-24 08:00:00+00:00,Lewisham,Slight,1
730445,51.528961,-0.09197899999999999,2019-07-24 09:20:00+00:00,Hackney,Slight,1
730448,51.399893,-0.10713099999999999,2019-07-23 22:26:00+00:00,Croydon,Slight,1
730449,51.556472,-0.046209,2019-07-14 03:00:00+00:00,Hackney,Slight,1
726474,51.489283,-0.074752,2019-05-30 15:30:00+00:00,Southwark,Slight,1
726484,51.515399,-0.163399,2019-05-30 13:45:00+00:00,City of Westminster,Slight,1
726485,51.531697,-0.105432,2019-05-30 18:00:00+00:00,Islington,Serious,1
726488,51.572969,-0.008513999999999999,2019-05-30 19:58:00+00:00,Waltham Forest,Slight,1
726491,51.461321,-0.155551,2019-05-21 17:15:00+00:00,Wandsworth,Slight,1
726497,51.508543,0.071047,2019-05-23 18:40:00+00:00,Newham,Slight,1
726512,51.536199,-0.0049,2019-05-31 18:30:00+00:00,Newham,Slight,1
726517,51.399101,-0.017887,2019-05-31 20:01:00+00:00,Bromley,Slight,1
726520,51.477292,-0.11712000000000002,2019-05-31 21:14:00+00:00,Lambeth,Slight,1
726529,51.484458,-0.158363,2019-06-01 02:33:00+00:00,Kensington and Chelsea,Slight,1
726530,51.473201,-0.327719,2019-05-31 23:45:00+00:00,Hounslow,Slight,1
350631,51.4952,-0.101745,2019-03-19 22:25:00+00:00,Southwark,Slight,1
350637,51.516695,-0.06829199999999999,2019-03-20 07:38:00+00:00,Tower Hamlets,Slight,1
350638,51.521437,-0.018893,2019-03-20 07:46:00+00:00,Tower Hamlets,Slight,1
350639,51.528566,-0.132219,2019-03-20 08:20:00+00:00,Camden,Slight,1
350642,51.406011,-0.13930199999999998,2019-03-20 08:32:00+00:00,Merton,Slight,1
350643,51.530093,-0.083036,2019-03-20 09:15:00+00:00,Hackney,Slight,1
350650,51.502186,-0.10109399999999999,2019-03-20 09:15:00+00:00,Southwark,Slight,1
350651,51.374092,0.002196,2019-03-20 08:37:00+00:00,Bromley,Slight,1
350657,51.464075,-0.182232,2019-03-07 07:55:00+00:00,Wandsworth,Slight,1
350666,51.394857,-0.148192,2019-03-19 17:49:00+00:00,Merton,Serious,1
350669,51.548225,-0.09815399999999999,2019-03-18 08:35:00+00:00,Islington,Serious,1
350671,51.4478,-0.10120699999999999,2019-03-20 15:25:00+00:00,Lambeth,Slight,1
350672,51.506445,-0.10256000000000001,2019-03-20 15:35:00+00:00,Southwark,Serious,1
350674,51.492484,-0.17825000000000002,2019-03-20 15:50:00+00:00,Kensington and Chelsea,Serious,1
350675,51.543782,-0.13619599999999998,2019-03-20 17:03:00+00:00,Camden,Slight,1
350677,51.571706,-0.15001899999999999,2019-03-20 17:50:00+00:00,Haringey,Serious,1
350680,51.572022,-0.027027,2019-03-20 13:40:00+00:00,Waltham Forest,Slight,1
350682,51.495258,-0.049388999999999995,2019-03-20 17:00:00+00:00,Southwark,Slight,1
734594,51.482036,-0.112373,2019-09-22 21:49:00+00:00,Lambeth,Slight,1
734597,51.571784,-0.26215499999999997,2019-09-20 05:30:00+00:00,Brent,Slight,1
734599,51.43727,0.11962,2019-09-23 08:05:00+00:00,Bexley,Slight,1
734604,51.542929,-0.143701,2019-09-23 10:42:00+00:00,Camden,Slight,1
734608,51.426242,-0.07405099999999999,2019-09-23 08:13:00+00:00,Southwark,Slight,1
734614,51.587039,-0.041462,2019-09-23 12:30:00+00:00,Waltham Forest,Slight,1
734619,51.524423,-0.11605499999999999,2019-09-19 00:10:00+00:00,Camden,Slight,1
734620,51.484797,-0.219936,2019-09-23 09:10:00+00:00,Hammersmith and Fulham,Slight,1
734630,51.453537,-0.07746499999999999,2019-09-04 17:00:00+00:00,Southwark,Serious,1
734643,51.573172,-0.072378,2019-09-23 18:40:00+00:00,Hackney,Slight,1
739237,51.584666,0.173517,2019-11-24 20:12:00+00:00,Havering,Serious,1
739238,51.509966,-0.133109,2019-11-24 19:32:00+00:00,City of Westminster,Serious,1
739239,51.469355,-0.097289,2019-11-13 08:30:00+00:00,Lambeth,Slight,1
739248,51.462953,-0.115147,2019-11-19 14:30:00+00:00,Lambeth,Slight,1
739250,51.595485,-0.145068,2019-11-24 22:07:00+00:00,Haringey,Slight,1
739258,51.519046,-0.07625000000000001,2019-11-25 07:58:00+00:00,Tower Hamlets,Slight,1
739260,51.539176,-0.136096,2019-11-25 08:35:00+00:00,Camden,Slight,1
739262,51.582545,-0.199376,2019-11-25 09:15:00+00:00,Barnet,Slight,1
739267,51.607779,-0.017043,2019-11-25 12:58:00+00:00,Waltham Forest,Slight,1
739281,51.526587,-0.028343,2019-11-21 10:45:00+00:00,Tower Hamlets,Slight,1
739284,51.518867,-0.210911,2019-11-25 15:00:00+00:00,Kensington and Chelsea,Slight,1
364114,51.527823,-0.021629,2019-09-17 17:10:00+00:00,Tower Hamlets,Slight,1
364125,51.543576,-0.182137,2019-10-02 13:19:00+00:00,Camden,Slight,1
364129,51.514907,-0.205388,2019-10-01 11:41:00+00:00,Kensington and Chelsea,Slight,1
364132,51.515627,-0.070614,2019-10-02 14:15:00+00:00,Tower Hamlets,Slight,1
364134,51.50227,-0.213506,2019-10-01 08:15:00+00:00,Kensington and Chelsea,Slight,1
364136,51.550787,-0.0049689999999999995,2019-10-02 12:58:00+00:00,Newham,Serious,2
364139,51.441658,0.086078,2019-10-01 18:35:00+00:00,Bexley,Slight,1
