,cord,feature_type,BOROUGH,FEATURE_ID,SVDATE,SIG_HEAD,SIG_SEPARA,SIG_EARLY,SIG_TWOSTG,SIG_GATE,PHOTO1_URL,PHOTO2_URL,cord_X,cord_Y
33,"[-0.1357047154, 51.5418515606]",Point,Camden,RWG150921,2017-12-08,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG150921_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150921_2.jpg,-0.1357047154, 51.5418515606
34,"[-0.1278531326, 51.5481084142]",Point,Camden,RWG006208,2017-06-06,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG006208_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG006208_2.jpg,-0.1278531326, 51.5481084142
35,"[-0.122559085, 51.5307883323]",Point,Camden,RWG032083,2017-08-17,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG032083_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG032083_2.jpg,-0.122559085, 51.5307883323
36,"[-0.1384704663, 51.5420074131]",Point,Camden,RWG032084,2017-08-19,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG032084_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG032084_2.jpg,-0.1384704663, 51.5420074131
37,"[-0.1278562956, 51.5481566017]",Point,Camden,RWG006206,2017-06-06,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG006206_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG006206_2.jpg,-0.1278562956, 51.5481566017
38,"[-0.1278886452, 51.5481298124]",Point,Camden,RWG006207,2017-06-06,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG006207_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG006207_2.jpg,-0.1278886452, 51.5481298124
39,"[-0.1358535711, 51.5419511251]",Point,Camden,RWG150922,2017-12-08,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG150922_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150922_2.jpg,-0.1358535711, 51.5419511251
40,"[-0.0943530374, 51.5398437786]",Point,Islington,RWG150920,2017-12-07,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG150920_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150920_2.jpg,-0.0943530374, 51.5398437786
41,"[-0.1042446759, 51.5315600791]",Point,Islington,RWG006233,2017-06-09,1,1,1,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG006233_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG006233_2.jpg,-0.1042446759, 51.5315600791
42,"[-0.1076570785, 51.5491770996]",Point,Islington,RWG026337,2017-07-07,1,1,0,0,1,https://cycleassetimages.data.tfl.gov.uk/RWG026337_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG026337_2.jpg,-0.1076570785, 51.5491770996
