Area Codes,population
E02000986,"8,565"
E02000987,"7,111"
E02000988,"8,770"
E02000989,"8,168"
E02000990,"7,892"
E02000991,"7,591"
E02000992,"5,903"
E02000993,"8,025"
E02000994,"8,373"
E02000995,"8,136"
E02000996,"8,455"
E02000997,"6,070"
E02000998,"9,328"
E02000999,"7,945"
E02001000,"9,264"
E02001001,"8,728"
E02001002,"9,585"
E02001003,"7,346"
E02001004,"8,658"
E02001005,"8,684"
E02001006,"8,244"
E02001007,"9,956"
E02001008,"8,756"
E02001009,"7,318"
E02001010,"6,073"
E02001011,"9,735"
E02001012,"8,297"
E02001013,"6,160"
E02001014,"8,027"
E02001015,"8,330"
E02001016,"8,476"
E02001017,"10,943"
E02001018,"7,557"
E08000002,"190,108"
E02001019,"8,962"
E02001020,"5,794"
E02001021,"7,575"
E02001022,"7,854"
E02001023,"5,643"
E02001024,"8,231"
E02001025,"7,871"
E02001026,"10,535"
E02001027,"7,493"
E02001028,"7,243"
E02001029,"7,543"
E02001030,"5,810"
E02001031,"6,568"
E02001032,"7,703"
E02001033,"5,953"
E02001034,"8,368"
E02001035,"6,972"
E02001036,"7,658"
E02001037,"6,980"
E02001038,"5,731"
E02001039,"8,476"
E02001040,"6,081"
E02001041,"7,766"
E02001042,"6,347"
E02001043,"5,524"
E02001044,"9,427"
E08000003,"547,627"
E02001045,"8,269"
E02001046,"10,377"
E02001047,"10,002"
E02001048,"8,841"
E02001049,"9,764"
E02001050,"8,397"
E02001051,"8,995"
E02001052,"14,132"
E02001053,"11,093"
E02001055,"9,189"
E02001056,"8,319"
E02001057,"11,195"
E02001059,"11,941"
E02001061,"9,775"
E02001062,"10,612"
E02001063,"14,036"
E02001064,"10,088"
E02001065,"9,446"
E02001066,"13,203"
E02001067,"11,080"
E02001068,"10,552"
E02001069,"12,606"
E02001070,"12,790"
E02001071,"14,487"
E02001072,"9,069"
E02001073,"9,574"
E02001074,"11,944"
E02001075,"8,742"
E02001076,"12,276"
E02001077,"7,351"
E02001078,"10,567"
E02001079,"9,036"
E02001080,"9,757"
E02001081,"6,351"
E02001082,"6,670"
E02001083,"8,028"
E02001084,"8,513"
E02001085,"8,382"
E02001086,"6,558"
E02001087,"9,382"
E02001088,"9,149"
E02001089,"7,737"
E02001090,"6,571"
E02001091,"8,018"
E02001092,"8,435"
E02001093,"9,353"
E02001094,"9,558"
E02001095,"8,262"
E02001096,"7,560"
E02001097,"8,058"
E02006902,"7,344"
E02006912,"15,865"
E02006913,"7,417"
E02006914,"10,010"
E02006915,"9,458"
E02006916,"6,317"
E02006917,"7,126"
E08000004,"235,623"
E02001098,"5,885"
E02001099,"5,876"
E02001100,"5,961"
E02001101,"5,536"
E02001102,"6,053"
E02001103,"5,488"
E02001104,"7,084"
E02001105,"6,023"
E02001106,"5,823"
E02001107,"6,450"
E02001108,"5,779"
E02001109,"7,690"
E02001110,"6,433"
E02001111,"7,518"
E02001112,"5,701"
E02001113,"9,621"
E02001114,"8,908"
E02001115,"5,863"
E02001116,"7,460"
E02001117,"6,183"
E02001118,"6,016"
E02001119,"11,860"
E02001121,"8,603"
E02001123,"6,834"
E02001124,"6,381"
E02001125,"8,168"
E02001126,"8,893"
E02001127,"7,593"
E02001128,"7,762"
E02001129,"6,130"
E02001130,"5,408"
E02001131,"5,261"
E02006860,"15,379"
E08000005,"220,001"
E02001132,"6,438"
E02001133,"6,454"
E02001134,"6,296"
E02001135,"8,088"
E02001136,"9,198"
E02001137,"6,093"
E02001138,"8,615"
E02001139,"9,991"
E02001140,"8,223"
E02001141,"12,602"
E02001142,"5,812"
E02001143,"11,527"
E02001144,"6,387"
E02001145,"7,137"
E02001146,"9,847"
E02001147,"9,795"
E02001148,"10,557"
E02001149,"10,294"
E02001150,"8,911"
E02001151,"10,117"
E02001152,"9,267"
E02001153,"11,194"
E02001154,"10,135"
E02001155,"7,365"
E02001156,"9,658"
E08000006,"254,408"
E02001157,"8,261"
E02001158,"6,203"
E02001159,"6,733"
E02001160,"6,969"
E02001161,"5,870"
E02001162,"6,080"
E02001163,"9,209"
E02001164,"7,490"
E02001165,"6,058"
E02001166,"7,259"
E02001167,"7,124"
E02001168,"9,608"
E02001169,"10,361"
E02001170,"9,676"
E02001171,"5,925"
E02001172,"15,307"
E02001173,"7,806"
E02001174,"5,603"
E02001175,"7,272"
E02001176,"11,415"
E02001177,"12,867"
E02001178,"14,166"
E02001179,"6,597"
E02001180,"6,590"
E02001181,"6,115"
E02001182,"6,363"
E02001183,"6,694"
E02001184,"14,299"
E02001185,"10,028"
E02001186,"10,460"
E08000007,"291,775"
E02001187,"7,027"
E02001188,"8,468"
E02001189,"8,331"
E02001190,"7,309"
E02001191,"5,704"
E02001192,"6,879"
E02001193,"6,321"
E02001194,"6,300"
E02001195,"7,280"
E02001196,"7,727"
E02001197,"6,364"
E02001198,"7,539"
E02001199,"8,000"
E02001200,"7,216"
E02001201,"5,752"
E02001202,"6,268"
E02001203,"5,954"
E02001204,"9,248"
E02001205,"8,025"
E02001206,"7,277"
E02001207,"6,928"
E02001208,"7,542"
E02001209,"7,930"
E02001210,"7,300"
E02001211,"6,308"
E02001212,"7,000"
E02001213,"9,960"
E02001214,"7,538"
E02001215,"5,942"
E02001216,"7,448"
E02001217,"6,933"
E02001218,"6,043"
E02001219,"5,414"
E02001220,"5,702"
E02001221,"5,931"
E02001222,"6,431"
E02001223,"6,750"
E02001224,"5,820"
E02001225,"7,394"
E02001226,"7,148"
E02001227,"5,857"
E02001228,"5,467"
E08000008,"225,197"
E02001229,"10,060"
E02001230,"5,943"
E02001231,"7,235"
E02001232,"8,378"
E02001233,"7,917"
E02001234,"7,824"
E02001235,"7,005"
E02001236,"5,963"
E02001237,"7,141"
E02001238,"7,810"
E02001239,"9,327"
E02001240,"6,054"
E02001241,"10,644"
E02001242,"6,604"
E02001243,"7,893"
E02001244,"5,438"
E02001245,"8,176"
E02001246,"7,361"
E02001247,"6,926"
E02001248,"11,149"
E02001249,"6,337"
E02001250,"6,601"
E02001251,"5,945"
E02001252,"7,313"
E02001253,"4,963"
E02001254,"5,699"
E02001255,"6,699"
E02001256,"10,589"
E02001257,"8,952"
E02001258,"7,251"
E08000009,"236,370"
E02001259,"10,934"
E02001260,"7,650"
E02001261,"8,528"
E02001262,"8,632"
E02001263,"8,324"
E02001264,"8,502"
E02001265,"8,099"
E02001266,"6,980"
E02001267,"7,601"
E02001268,"7,036"
E02001269,"8,403"
E02001270,"8,508"
E02001271,"6,550"
E02001272,"8,236"
E02001273,"10,172"
E02001274,"8,003"
E02001275,"8,637"
E02001276,"8,146"
E02001277,"9,614"
E02001278,"8,671"
E02001279,"8,566"
E02001280,"8,418"
E02001281,"7,629"
E02001282,"10,122"
E02001283,"9,669"
E02001284,"8,416"
E02001285,"8,078"
E02001286,"8,246"
E08000010,"326,088"
E02001287,"5,780"
E02001288,"7,619"
E02001289,"10,088"
E02001290,"6,154"
E02001291,"7,692"
E02001292,"8,077"
E02001293,"6,042"
E02001294,"7,790"
E02001295,"7,636"
E02001296,"9,767"
E02001297,"6,611"
E02001298,"8,740"
E02001299,"9,002"
E02001300,"8,290"
E02001301,"9,026"
E02001302,"7,951"
E02001303,"8,816"
E02001304,"12,843"
E02001305,"8,232"
E02001306,"7,290"
E02001307,"11,791"
E02001308,"6,162"
E02001309,"8,109"
E02001310,"9,291"
E02001311,"8,416"
E02001312,"8,318"
E02001313,"8,289"
E02001314,"8,292"
E02001315,"7,953"
E02001316,"6,631"
E02001317,"8,544"
E02001318,"7,868"
E02001319,"7,737"
E02001320,"7,640"
E02001321,"8,269"
E02001322,"7,333"
E02001323,"7,950"
E02001324,"8,611"
E02001325,"7,705"
E02001326,"7,733"
E07000117,"88,527"
E02005176,"8,774"
E02005177,"5,903"
E02005178,"10,053"
E02005179,"9,010"
E02005180,"6,749"
E02005181,"6,191"
E02005182,"5,961"
E02005183,"5,969"
E02005184,"5,024"
E02005185,"8,858"
E02005186,"5,941"
E02006881,"10,094"
E07000118,"116,821"
E02005189,"5,529"
E02005190,"6,096"
E02005191,"9,167"
E02005192,"8,947"
E02005193,"8,207"
E02005194,"7,874"
E02005195,"8,060"
E02005196,"10,394"
E02005197,"7,371"
E02005198,"9,695"
E02005199,"7,694"
E02005200,"9,419"
E02005201,"8,265"
E02005202,"10,103"
E07000119,"79,770"
E02005203,"7,901"
E02005204,"11,615"
E02005205,"6,849"
E02005206,"7,175"
